State,Year,Quarter,District_name,Insurance_count,Insurance_amount
Andaman & Nicobar Islands,2020,2,South Andaman District,3.0,795.0
Andaman & Nicobar Islands,2020,2,Nicobar District,3.0,565.0
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,1.0,281.0
Andaman & Nicobar Islands,2020,3,South Andaman District,35.0,13651.0
Andaman & Nicobar Islands,2020,3,Nicobar District,5.0,1448.0
Andaman & Nicobar Islands,2020,4,North And Middle Andaman District,13.0,17734.0
Andaman & Nicobar Islands,2020,4,South Andaman District,109.0,137494.0
Andaman & Nicobar Islands,2020,4,Nicobar District,2.0,2747.0
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,48.0,63978.0
Andaman & Nicobar Islands,2021,1,South Andaman District,164.0,167044.0
Andaman & Nicobar Islands,2021,1,Nicobar District,13.0,13244.0
Andaman & Nicobar Islands,2021,2,North And Middle Andaman District,28.0,45311.0
Andaman & Nicobar Islands,2021,2,South Andaman District,105.0,121104.0
Andaman & Nicobar Islands,2021,2,Nicobar District,4.0,15089.0
Andaman & Nicobar Islands,2021,3,North And Middle Andaman District,33.0,50997.0
Andaman & Nicobar Islands,2021,3,South Andaman District,182.0,223699.0
Andaman & Nicobar Islands,2021,3,Nicobar District,15.0,30539.0
Andaman & Nicobar Islands,2021,4,North And Middle Andaman District,81.0,182061.0
Andaman & Nicobar Islands,2021,4,South Andaman District,632.0,800758.0
Andaman & Nicobar Islands,2021,4,Nicobar District,44.0,73561.0
Andaman & Nicobar Islands,2022,1,North And Middle Andaman District,48.0,85229.0
Andaman & Nicobar Islands,2022,1,South Andaman District,692.0,982206.0
Andaman & Nicobar Islands,2022,1,Nicobar District,28.0,63852.0
Andaman & Nicobar Islands,2022,2,North And Middle Andaman District,45.0,90403.0
Andaman & Nicobar Islands,2022,2,South Andaman District,430.0,633029.0
Andaman & Nicobar Islands,2022,2,Nicobar District,26.0,56308.0
Andaman & Nicobar Islands,2022,3,North And Middle Andaman District,70.0,129013.0
Andaman & Nicobar Islands,2022,3,South Andaman District,535.0,687813.0
Andaman & Nicobar Islands,2022,3,Nicobar District,38.0,85640.0
Andaman & Nicobar Islands,2022,4,North And Middle Andaman District,112.0,224198.0
Andaman & Nicobar Islands,2022,4,South Andaman District,750.0,1114857.0
Andaman & Nicobar Islands,2022,4,Nicobar District,39.0,102155.0
Andaman & Nicobar Islands,2023,1,North And Middle Andaman District,85.0,178969.0
Andaman & Nicobar Islands,2023,1,South Andaman District,872.0,1172083.0
Andaman & Nicobar Islands,2023,1,Nicobar District,47.0,88146.0
Andaman & Nicobar Islands,2023,2,North And Middle Andaman District,56.0,109742.0
Andaman & Nicobar Islands,2023,2,South Andaman District,670.0,1060976.0
Andaman & Nicobar Islands,2023,2,Nicobar District,42.0,62677.0
Andaman & Nicobar Islands,2023,3,North And Middle Andaman District,77.0,133536.0
Andaman & Nicobar Islands,2023,3,South Andaman District,682.0,1052324.0
Andaman & Nicobar Islands,2023,3,Nicobar District,36.0,65285.0
Andaman & Nicobar Islands,2023,4,North And Middle Andaman District,95.0,156995.0
Andaman & Nicobar Islands,2023,4,South Andaman District,1006.0,1504528.0
Andaman & Nicobar Islands,2023,4,Nicobar District,44.0,96298.0
Andaman & Nicobar Islands,2024,1,North And Middle Andaman District,125.0,229226.0
Andaman & Nicobar Islands,2024,1,South Andaman District,1190.0,1657627.0
Andaman & Nicobar Islands,2024,1,Nicobar District,56.0,77703.0
Andaman & Nicobar Islands,2024,2,North And Middle Andaman District,74.0,164686.0
Andaman & Nicobar Islands,2024,2,South Andaman District,974.0,1513489.0
Andaman & Nicobar Islands,2024,2,Nicobar District,49.0,66519.0
Andaman & Nicobar Islands,2024,3,North And Middle Andaman District,95.0,151791.0
Andaman & Nicobar Islands,2024,3,South Andaman District,1044.0,1530179.0
Andaman & Nicobar Islands,2024,3,Nicobar District,51.0,68638.0
Andaman & Nicobar Islands,2024,3,Nicobar District,1.0,2192.0
Andaman & Nicobar Islands,2024,4,North And Middle Andaman District,131.0,219770.0
Andaman & Nicobar Islands,2024,4,South Andaman District,1085.0,1670015.0
Andaman & Nicobar Islands,2024,4,Nicobar District,77.0,136595.0
Andhra Pradesh,2020,2,East Godavari District,1913.0,352220.0
Andhra Pradesh,2020,2,Srikakulam District,536.0,107046.0
Andhra Pradesh,2020,2,Spsr Nellore District,931.0,176423.0
Andhra Pradesh,2020,2,Vizianagaram District,893.0,166029.0
Andhra Pradesh,2020,2,Visakhapatnam District,3504.0,614212.0
Andhra Pradesh,2020,2,Prakasam District,847.0,161709.0
Andhra Pradesh,2020,2,Anantapur District,2739.0,485777.0
Andhra Pradesh,2020,2,Ysr District,1978.0,343002.0
Andhra Pradesh,2020,2,West Godavari District,1074.0,202289.0
Andhra Pradesh,2020,2,Kurnool District,825.0,158720.0
Andhra Pradesh,2020,2,Chittoor District,2228.0,395099.0
Andhra Pradesh,2020,2,Guntur District,1938.0,344326.0
Andhra Pradesh,2020,2,Krishna District,2698.0,475539.0
Andhra Pradesh,2020,3,East Godavari District,3783.0,970549.0
Andhra Pradesh,2020,3,Srikakulam District,1535.0,383049.0
Andhra Pradesh,2020,3,Spsr Nellore District,5509.0,1259159.0
Andhra Pradesh,2020,3,Vizianagaram District,2999.0,691281.0
Andhra Pradesh,2020,3,Visakhapatnam District,7906.0,1892376.0
Andhra Pradesh,2020,3,Prakasam District,2565.0,722751.0
Andhra Pradesh,2020,3,Anantapur District,2911.0,764850.0
Andhra Pradesh,2020,3,Ysr District,3397.0,847519.0
Andhra Pradesh,2020,3,West Godavari District,2543.0,696749.0
Andhra Pradesh,2020,3,Kurnool District,3493.0,841970.0
Andhra Pradesh,2020,3,Chittoor District,4422.0,1178762.0
Andhra Pradesh,2020,3,Guntur District,4230.0,1083584.0
Andhra Pradesh,2020,3,Krishna District,4519.0,1093882.0
Andhra Pradesh,2020,4,East Godavari District,1965.0,1355741.0
Andhra Pradesh,2020,4,Srikakulam District,811.0,546440.0
Andhra Pradesh,2020,4,Spsr Nellore District,1348.0,810758.0
Andhra Pradesh,2020,4,Vizianagaram District,897.0,651040.0
Andhra Pradesh,2020,4,Visakhapatnam District,3464.0,2203761.0
Andhra Pradesh,2020,4,Prakasam District,1190.0,572976.0
Andhra Pradesh,2020,4,Anantapur District,1534.0,794053.0
Andhra Pradesh,2020,4,Ysr District,1165.0,631876.0
Andhra Pradesh,2020,4,West Godavari District,1390.0,906282.0
Andhra Pradesh,2020,4,Kurnool District,1092.0,500768.0
Andhra Pradesh,2020,4,Chittoor District,1727.0,1168506.0
Andhra Pradesh,2020,4,Guntur District,2570.0,1620649.0
Andhra Pradesh,2020,4,Krishna District,2311.0,1222782.0
Andhra Pradesh,2021,1,East Godavari District,1937.0,1065604.0
Andhra Pradesh,2021,1,Srikakulam District,854.0,588769.0
Andhra Pradesh,2021,1,Spsr Nellore District,1323.0,714947.0
Andhra Pradesh,2021,1,Vizianagaram District,781.0,526804.0
Andhra Pradesh,2021,1,Visakhapatnam District,4006.0,2403199.0
Andhra Pradesh,2021,1,Prakasam District,1182.0,585354.0
Andhra Pradesh,2021,1,Anantapur District,1264.0,621128.0
Andhra Pradesh,2021,1,Ysr District,1265.0,729565.0
Andhra Pradesh,2021,1,West Godavari District,1460.0,850251.0
Andhra Pradesh,2021,1,Kurnool District,1270.0,508161.0
Andhra Pradesh,2021,1,Chittoor District,1629.0,1058050.0
Andhra Pradesh,2021,1,Guntur District,2412.0,1398326.0
Andhra Pradesh,2021,1,Krishna District,2722.0,1699716.0
Andhra Pradesh,2021,2,East Godavari District,2343.0,1695121.0
Andhra Pradesh,2021,2,Srikakulam District,842.0,755796.0
Andhra Pradesh,2021,2,Spsr Nellore District,1817.0,1245872.0
Andhra Pradesh,2021,2,Vizianagaram District,815.0,702006.0
Andhra Pradesh,2021,2,Visakhapatnam District,4655.0,3497573.0
Andhra Pradesh,2021,2,Prakasam District,5308.0,2719134.0
Andhra Pradesh,2021,2,Anantapur District,1631.0,1284850.0
Andhra Pradesh,2021,2,Ysr District,1404.0,1026195.0
Andhra Pradesh,2021,2,West Godavari District,4170.0,2327122.0
Andhra Pradesh,2021,2,Kurnool District,1410.0,941389.0
Andhra Pradesh,2021,2,Chittoor District,2392.0,1839579.0
Andhra Pradesh,2021,2,Guntur District,2967.0,2201793.0
Andhra Pradesh,2021,2,Krishna District,3451.0,2494257.0
Andhra Pradesh,2021,3,East Godavari District,2248.0,2073825.0
Andhra Pradesh,2021,3,Srikakulam District,798.0,803258.0
Andhra Pradesh,2021,3,Spsr Nellore District,1486.0,1161025.0
Andhra Pradesh,2021,3,Vizianagaram District,736.0,628946.0
Andhra Pradesh,2021,3,Visakhapatnam District,4044.0,3191769.0
Andhra Pradesh,2021,3,Prakasam District,1050.0,877683.0
Andhra Pradesh,2021,3,Anantapur District,1329.0,1311735.0
Andhra Pradesh,2021,3,Ysr District,1137.0,1033282.0
Andhra Pradesh,2021,3,West Godavari District,1452.0,1216098.0
Andhra Pradesh,2021,3,Kurnool District,1027.0,796678.0
Andhra Pradesh,2021,3,Chittoor District,1991.0,1995617.0
Andhra Pradesh,2021,3,Guntur District,2519.0,2102143.0
Andhra Pradesh,2021,3,Krishna District,3258.0,2722279.0
Andhra Pradesh,2021,4,East Godavari District,2532.0,3543718.0
Andhra Pradesh,2021,4,Srikakulam District,1116.0,1152210.0
Andhra Pradesh,2021,4,Spsr Nellore District,2369.0,2345876.0
Andhra Pradesh,2021,4,Vizianagaram District,924.0,916336.0
Andhra Pradesh,2021,4,Visakhapatnam District,4176.0,5425896.0
Andhra Pradesh,2021,4,Prakasam District,1181.0,1328774.0
Andhra Pradesh,2021,4,Anantapur District,1322.0,2101400.0
Andhra Pradesh,2021,4,Ysr District,1449.0,1479933.0
Andhra Pradesh,2021,4,West Godavari District,1262.0,1853561.0
Andhra Pradesh,2021,4,Kurnool District,910.0,1306288.0
Andhra Pradesh,2021,4,Chittoor District,2444.0,3100521.0
Andhra Pradesh,2021,4,Guntur District,2709.0,3214794.0
Andhra Pradesh,2021,4,Krishna District,3029.0,3841028.0
Andhra Pradesh,2022,1,East Godavari District,3605.0,5199664.0
Andhra Pradesh,2022,1,Srikakulam District,1004.0,1393633.0
Andhra Pradesh,2022,1,Spsr Nellore District,1878.0,2608475.0
Andhra Pradesh,2022,1,Vizianagaram District,949.0,1344329.0
Andhra Pradesh,2022,1,Visakhapatnam District,5196.0,6953446.0
Andhra Pradesh,2022,1,Prakasam District,1797.0,2181402.0
Andhra Pradesh,2022,1,Anantapur District,1551.0,2556602.0
Andhra Pradesh,2022,1,Ysr District,1439.0,2086496.0
Andhra Pradesh,2022,1,West Godavari District,1991.0,3109555.0
Andhra Pradesh,2022,1,Kurnool District,995.0,1641988.0
