State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andaman & Nicobar Islands,2018,1,North And Middle Andaman District,442,931663.0770939873
Andaman & Nicobar Islands,2018,1,South Andaman District,5688,12560249.34366581
Andaman & Nicobar Islands,2018,1,Nicobar District,528,1139848.801225994
Andaman & Nicobar Islands,2018,2,North And Middle Andaman District,825,1317863.0834906558
Andaman & Nicobar Islands,2018,2,South Andaman District,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,Nicobar District,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,3,North And Middle Andaman District,1283,4901529.518499676
Andaman & Nicobar Islands,2018,3,South Andaman District,13511,44268112.46425246
Andaman & Nicobar Islands,2018,3,Nicobar District,1471,6387829.151558982
Andaman & Nicobar Islands,2018,4,North And Middle Andaman District,2137,7955635.917688001
Andaman & Nicobar Islands,2018,4,South Andaman District,20136,75411840.8018554
Andaman & Nicobar Islands,2018,4,Nicobar District,1485,7180859.354911782
Andaman & Nicobar Islands,2019,1,North And Middle Andaman District,3264,9561708.736298349
Andaman & Nicobar Islands,2019,1,South Andaman District,25683,85501972.38780196
Andaman & Nicobar Islands,2019,1,Nicobar District,1539,7236059.549389593
Andaman & Nicobar Islands,2019,2,North And Middle Andaman District,3371,8612103.137888122
Andaman & Nicobar Islands,2019,2,South Andaman District,28490,102530955.71341258
Andaman & Nicobar Islands,2019,2,Nicobar District,1828,9111650.82436246
Andaman & Nicobar Islands,2019,3,North And Middle Andaman District,4049,11481466.283356793
Andaman & Nicobar Islands,2019,3,South Andaman District,27421,91023888.32848613
Andaman & Nicobar Islands,2019,3,Nicobar District,2300,11566421.475451011
Andaman & Nicobar Islands,2019,4,North And Middle Andaman District,4716,13524056.784573946
Andaman & Nicobar Islands,2019,4,South Andaman District,27843,110930312.20611623
Andaman & Nicobar Islands,2019,4,Nicobar District,2600,12384161.52668771
Andaman & Nicobar Islands,2020,1,North And Middle Andaman District,5674,14697371.617857102
Andaman & Nicobar Islands,2020,1,South Andaman District,32713,134679396.90582755
Andaman & Nicobar Islands,2020,1,Nicobar District,2911,12099543.773590054
Andaman & Nicobar Islands,2020,2,North And Middle Andaman District,10979,22447714.061058953
Andaman & Nicobar Islands,2020,2,South Andaman District,48088,132855778.74838585
Andaman & Nicobar Islands,2020,2,Nicobar District,3895,14341508.60470232
Andaman & Nicobar Islands,2020,3,North And Middle Andaman District,16747,33486883.370425556
Andaman & Nicobar Islands,2020,3,South Andaman District,95323,282366109.20523936
Andaman & Nicobar Islands,2020,3,Nicobar District,5413,22166453.754695386
Andaman & Nicobar Islands,2020,4,North And Middle Andaman District,29349,68941322.38839513
Andaman & Nicobar Islands,2020,4,South Andaman District,186494,523122462.88302904
Andaman & Nicobar Islands,2020,4,Nicobar District,8688,35218871.04342849
Andaman & Nicobar Islands,2021,1,North And Middle Andaman District,27358,75027255.27919498
