State,Pincode,Year,Quarter,Insurance_count,Insurance_amount
Andaman & Nicobar Islands,744301,2020,2,3,565.0
Andaman & Nicobar Islands,744104,2020,2,2,513.0
Andaman & Nicobar Islands,744101,2020,2,1,282.0
Andaman & Nicobar Islands,744112,2020,3,9,3432.0
Andaman & Nicobar Islands,744105,2020,3,7,3948.0
Andaman & Nicobar Islands,744101,2020,3,5,2194.0
Andaman & Nicobar Islands,744206,2020,3,4,1620.0
Andaman & Nicobar Islands,744107,2020,3,3,1095.0
Andaman & Nicobar Islands,744103,2020,3,3,947.0
Andaman & Nicobar Islands,744302,2020,3,3,562.0
Andaman & Nicobar Islands,744211,2020,3,2,101.0
Andaman & Nicobar Islands,744301,2020,3,2,886.0
Andaman & Nicobar Islands,744102,2020,3,2,314.0
Andaman & Nicobar Islands,744105,2020,4,25,25659.0
Andaman & Nicobar Islands,744101,2020,4,23,29686.0
Andaman & Nicobar Islands,744103,2020,4,18,24904.0
Andaman & Nicobar Islands,744102,2020,4,17,25073.0
Andaman & Nicobar Islands,744112,2020,4,8,10459.0
Andaman & Nicobar Islands,744106,2020,4,6,4840.0
Andaman & Nicobar Islands,744204,2020,4,6,11659.0
Andaman & Nicobar Islands,744104,2020,4,4,10271.0
Andaman & Nicobar Islands,744206,2020,4,3,100.0
Andaman & Nicobar Islands,744205,2020,4,3,5235.0
Andaman & Nicobar Islands,744105,2021,1,47,53060.0
Andaman & Nicobar Islands,744103,2021,1,35,39985.0
Andaman & Nicobar Islands,744101,2021,1,33,24571.0
Andaman & Nicobar Islands,744204,2021,1,25,29635.0
Andaman & Nicobar Islands,744202,2021,1,12,17588.0
Andaman & Nicobar Islands,744102,2021,1,12,14085.0
Andaman & Nicobar Islands,744104,2021,1,9,7310.0
Andaman & Nicobar Islands,744107,2021,1,8,9253.0
Andaman & Nicobar Islands,744205,2021,1,7,11223.0
Andaman & Nicobar Islands,744301,2021,1,7,6612.0
Andaman & Nicobar Islands,744103,2021,2,36,33716.0
Andaman & Nicobar Islands,744101,2021,2,17,19787.0
Andaman & Nicobar Islands,744105,2021,2,15,17163.0
Andaman & Nicobar Islands,744102,2021,2,13,10326.0
Andaman & Nicobar Islands,744204,2021,2,10,10557.0
Andaman & Nicobar Islands,744107,2021,2,8,11459.0
Andaman & Nicobar Islands,744202,2021,2,6,9766.0
Andaman & Nicobar Islands,744104,2021,2,6,8889.0
Andaman & Nicobar Islands,744205,2021,2,6,12669.0
Andaman & Nicobar Islands,744210,2021,2,4,9430.0
Andaman & Nicobar Islands,744105,2021,3,70,82425.0
Andaman & Nicobar Islands,744103,2021,3,44,53909.0
Andaman & Nicobar Islands,744101,2021,3,26,29601.0
Andaman & Nicobar Islands,744102,2021,3,14,20616.0
Andaman & Nicobar Islands,744204,2021,3,13,20075.0
Andaman & Nicobar Islands,744202,2021,3,11,18134.0
Andaman & Nicobar Islands,744112,2021,3,11,14406.0
Andaman & Nicobar Islands,744302,2021,3,8,7247.0
Andaman & Nicobar Islands,744107,2021,3,6,6406.0
Andaman & Nicobar Islands,744104,2021,3,6,2221.0
Andaman & Nicobar Islands,744105,2021,4,194,232344.0
Andaman & Nicobar Islands,744101,2021,4,159,211326.0
Andaman & Nicobar Islands,744103,2021,4,133,168668.0
Andaman & Nicobar Islands,744102,2021,4,66,68931.0
Andaman & Nicobar Islands,744301,2021,4,32,53658.0
Andaman & Nicobar Islands,744204,2021,4,31,102213.0
Andaman & Nicobar Islands,744104,2021,4,24,31069.0
Andaman & Nicobar Islands,744112,2021,4,22,38599.0
Andaman & Nicobar Islands,744202,2021,4,21,23016.0
Andaman & Nicobar Islands,744205,2021,4,13,30437.0
Andaman & Nicobar Islands,744103,2022,1,174,226181.0
Andaman & Nicobar Islands,744101,2022,1,149,204646.0
Andaman & Nicobar Islands,744105,2022,1,137,218321.0
Andaman & Nicobar Islands,744102,2022,1,102,147402.0
Andaman & Nicobar Islands,744112,2022,1,36,39197.0
Andaman & Nicobar Islands,744104,2022,1,33,35406.0
Andaman & Nicobar Islands,744107,2022,1,28,36877.0
Andaman & Nicobar Islands,744207,2022,1,19,50799.0
Andaman & Nicobar Islands,744301,2022,1,16,33406.0
Andaman & Nicobar Islands,744205,2022,1,15,29159.0
Andaman & Nicobar Islands,744103,2022,2,97,156861.0
Andaman & Nicobar Islands,744101,2022,2,87,121168.0
Andaman & Nicobar Islands,744105,2022,2,78,137418.0
Andaman & Nicobar Islands,744102,2022,2,62,58453.0
Andaman & Nicobar Islands,744104,2022,2,26,32107.0
Andaman & Nicobar Islands,744107,2022,2,22,52244.0
Andaman & Nicobar Islands,744211,2022,2,19,25543.0
Andaman & Nicobar Islands,744112,2022,2,18,24391.0
Andaman & Nicobar Islands,744301,2022,2,14,28331.0
Andaman & Nicobar Islands,744202,2022,2,13,20817.0
Andaman & Nicobar Islands,744103,2022,3,151,198569.0
Andaman & Nicobar Islands,744101,2022,3,119,151539.0
Andaman & Nicobar Islands,744105,2022,3,101,106324.0
Andaman & Nicobar Islands,744102,2022,3,76,102757.0
Andaman & Nicobar Islands,744104,2022,3,31,35790.0
Andaman & Nicobar Islands,744301,2022,3,27,67604.0
Andaman & Nicobar Islands,744202,2022,3,27,53016.0
Andaman & Nicobar Islands,744205,2022,3,17,34250.0
Andaman & Nicobar Islands,744107,2022,3,16,29251.0
Andaman & Nicobar Islands,744204,2022,3,11,17184.0
Andaman & Nicobar Islands,744103,2022,4,199,299036.0
Andaman & Nicobar Islands,744105,2022,4,166,253344.0
Andaman & Nicobar Islands,744101,2022,4,146,163498.0
Andaman & Nicobar Islands,744102,2022,4,80,98862.0
Andaman & Nicobar Islands,744202,2022,4,43,68397.0
Andaman & Nicobar Islands,744107,2022,4,38,73829.0
Andaman & Nicobar Islands,744104,2022,4,31,55827.0
Andaman & Nicobar Islands,744205,2022,4,27,56611.0
Andaman & Nicobar Islands,744211,2022,4,27,59500.0
Andaman & Nicobar Islands,744112,2022,4,25,42024.0
Andaman & Nicobar Islands,744103,2023,1,236,286594.0
Andaman & Nicobar Islands,744101,2023,1,206,233281.0
Andaman & Nicobar Islands,744105,2023,1,164,256300.0
Andaman & Nicobar Islands,744102,2023,1,117,134841.0
Andaman & Nicobar Islands,744107,2023,1,30,54849.0
Andaman & Nicobar Islands,744301,2023,1,30,58745.0
Andaman & Nicobar Islands,744112,2023,1,29,49945.0
Andaman & Nicobar Islands,744202,2023,1,29,64193.0
Andaman & Nicobar Islands,744205,2023,1,27,40580.0
Andaman & Nicobar Islands,744211,2023,1,24,29149.0
Andaman & Nicobar Islands,744103,2023,2,171,341853.0
Andaman & Nicobar Islands,744105,2023,2,166,255069.0
Andaman & Nicobar Islands,744101,2023,2,134,189989.0
Andaman & Nicobar Islands,744102,2023,2,82,101875.0
Andaman & Nicobar Islands,744104,2023,2,27,34345.0
Andaman & Nicobar Islands,744301,2023,2,25,41299.0
Andaman & Nicobar Islands,744207,2023,2,22,43459.0
Andaman & Nicobar Islands,744112,2023,2,21,20427.0
Andaman & Nicobar Islands,744107,2023,2,20,24693.0
Andaman & Nicobar Islands,744205,2023,2,17,31404.0
Andaman & Nicobar Islands,744103,2023,3,191,306744.0
Andaman & Nicobar Islands,744105,2023,3,147,212575.0
Andaman & Nicobar Islands,744101,2023,3,143,213581.0
Andaman & Nicobar Islands,744102,2023,3,100,120875.0
Andaman & Nicobar Islands,744202,2023,3,35,60750.0
Andaman & Nicobar Islands,744104,2023,3,30,50544.0
Andaman & Nicobar Islands,744112,2023,3,26,46075.0
Andaman & Nicobar Islands,744301,2023,3,18,34636.0
Andaman & Nicobar Islands,744205,2023,3,16,25131.0
Andaman & Nicobar Islands,744302,2023,3,16,24369.0
Andaman & Nicobar Islands,744103,2023,4,268,415144.0
Andaman & Nicobar Islands,744105,2023,4,214,372312.0
Andaman & Nicobar Islands,744101,2023,4,181,241849.0
Andaman & Nicobar Islands,744102,2023,4,121,161224.0
Andaman & Nicobar Islands,744104,2023,4,64,80581.0
Andaman & Nicobar Islands,744112,2023,4,50,50671.0
Andaman & Nicobar Islands,744107,2023,4,42,71047.0
Andaman & Nicobar Islands,744202,2023,4,36,60749.0
Andaman & Nicobar Islands,744301,2023,4,24,52732.0
Andaman & Nicobar Islands,744205,2023,4,23,38962.0
Andaman & Nicobar Islands,744103,2024,1,302,456306.0
Andaman & Nicobar Islands,744105,2024,1,249,331342.0
Andaman & Nicobar Islands,744101,2024,1,223,287339.0
Andaman & Nicobar Islands,744102,2024,1,141,182213.0
Andaman & Nicobar Islands,744202,2024,1,59,110482.0
Andaman & Nicobar Islands,744104,2024,1,59,84757.0
Andaman & Nicobar Islands,744112,2024,1,52,62867.0
Andaman & Nicobar Islands,744107,2024,1,52,73449.0
Andaman & Nicobar Islands,744207,2024,1,40,62007.0
Andaman & Nicobar Islands,744205,2024,1,28,38204.0
Andaman & Nicobar Islands,744103,2024,2,285,438830.0
Andaman & Nicobar Islands,744105,2024,2,199,276393.0
Andaman & Nicobar Islands,744101,2024,2,157,251503.0
Andaman & Nicobar Islands,744102,2024,2,133,203605.0
Andaman & Nicobar Islands,744112,2024,2,49,77583.0
Andaman & Nicobar Islands,744104,2024,2,49,91213.0
Andaman & Nicobar Islands,744107,2024,2,34,52311.0
Andaman & Nicobar Islands,744202,2024,2,28,41210.0
Andaman & Nicobar Islands,744211,2024,2,28,43685.0
Andaman & Nicobar Islands,744302,2024,2,27,37685.0
Andaman & Nicobar Islands,744103,2024,3,359,554559.0
Andaman & Nicobar Islands,744102,2024,3,196,248439.0
Andaman & Nicobar Islands,744105,2024,3,151,221959.0
Andaman & Nicobar Islands,744104,2024,3,95,128652.0
Andaman & Nicobar Islands,744101,2024,3,92,145811.0
Andaman & Nicobar Islands,744106,2024,3,54,84623.0
Andaman & Nicobar Islands,744202,2024,3,45,67769.0
Andaman & Nicobar Islands,744207,2024,3,25,27399.0
Andaman & Nicobar Islands,744302,2024,3,24,28210.0
Andaman & Nicobar Islands,744301,2024,3,20,28067.0
Andaman & Nicobar Islands,744103,2024,4,369,521509.0
Andaman & Nicobar Islands,744102,2024,4,165,228528.0
Andaman & Nicobar Islands,744105,2024,4,161,268432.0
Andaman & Nicobar Islands,744104,2024,4,129,250205.0
Andaman & Nicobar Islands,744101,2024,4,90,117544.0
Andaman & Nicobar Islands,744202,2024,4,65,107445.0
Andaman & Nicobar Islands,744106,2024,4,53,90277.0
Andaman & Nicobar Islands,744301,2024,4,50,86256.0
Andaman & Nicobar Islands,744107,2024,4,26,55695.0
Andaman & Nicobar Islands,744204,2024,4,24,45960.0
Andhra Pradesh,515001,2020,2,540,86088.0
Andhra Pradesh,515004,2020,2,437,71761.0
Andhra Pradesh,516360,2020,2,339,55455.0
Andhra Pradesh,516001,2020,2,322,50705.0
Andhra Pradesh,533005,2020,2,301,46454.0
Andhra Pradesh,517002,2020,2,279,43236.0
Andhra Pradesh,530016,2020,2,262,41153.0
