State,Pincode,Year,Quarter,Transaction_count,Transaction_amount
Andaman & Nicobar Islands,744101,2018,1,1622,2769297.9039997994
Andaman & Nicobar Islands,744103,2018,1,1223,2238041.8716124697
Andaman & Nicobar Islands,744102,2018,1,969,3519059.937562449
Andaman & Nicobar Islands,744105,2018,1,685,1298560.9515503529
Andaman & Nicobar Islands,744104,2018,1,340,1039715.3111450541
Andaman & Nicobar Islands,744107,2018,1,302,556059.5308556345
Andaman & Nicobar Islands,744301,2018,1,283,445739.1633851439
Andaman & Nicobar Islands,744112,2018,1,269,333709.56700413954
Andaman & Nicobar Islands,744202,2018,1,193,238914.01667155625
Andaman & Nicobar Islands,744302,2018,1,168,547469.6509380838
Andaman & Nicobar Islands,744101,2018,2,2701,6310089.917084678
Andaman & Nicobar Islands,744103,2018,2,1965,4752146.698501162
Andaman & Nicobar Islands,744102,2018,2,1525,5810267.574788321
Andaman & Nicobar Islands,744105,2018,2,997,2200332.971862734
Andaman & Nicobar Islands,744301,2018,2,767,1953749.3787199226
Andaman & Nicobar Islands,744104,2018,2,659,1650346.1906506256
Andaman & Nicobar Islands,744107,2018,2,594,1601569.9821441039
Andaman & Nicobar Islands,744112,2018,2,432,578829.1795229593
Andaman & Nicobar Islands,744202,2018,2,405,626523.9803147907
Andaman & Nicobar Islands,744302,2018,2,291,1026590.0735863491
Andaman & Nicobar Islands,744101,2018,3,3462,10833893.444488766
Andaman & Nicobar Islands,744103,2018,3,3182,10184154.358592123
Andaman & Nicobar Islands,744102,2018,3,2224,10365275.479700703
Andaman & Nicobar Islands,744105,2018,3,1613,5152534.080403434
Andaman & Nicobar Islands,744104,2018,3,1029,2588077.6866583927
Andaman & Nicobar Islands,744301,2018,3,975,4256576.349618757
Andaman & Nicobar Islands,744112,2018,3,579,1145815.7801705198
Andaman & Nicobar Islands,744107,2018,3,547,1492405.302862124
Andaman & Nicobar Islands,744302,2018,3,417,1976781.9199490356
Andaman & Nicobar Islands,744202,2018,3,341,2099404.0789861116
Andaman & Nicobar Islands,744101,2018,4,4674,16392855.280625317
Andaman & Nicobar Islands,744103,2018,4,4576,17022520.257624768
Andaman & Nicobar Islands,744102,2018,4,3306,17019977.183053624
Andaman & Nicobar Islands,744105,2018,4,2513,9935282.832151461
Andaman & Nicobar Islands,744104,2018,4,1432,6091757.917089159
Andaman & Nicobar Islands,744211,2018,4,1225,3451359.606027063
Andaman & Nicobar Islands,744301,2018,4,928,4606293.657525641
Andaman & Nicobar Islands,744112,2018,4,759,2208675.0435713646
Andaman & Nicobar Islands,744107,2018,4,747,1825659.5128978956
Andaman & Nicobar Islands,744202,2018,4,702,3797054.1677634423
Andaman & Nicobar Islands,744103,2019,1,5742,19401964.77965755
Andaman & Nicobar Islands,744101,2019,1,5156,15501306.227195919
Andaman & Nicobar Islands,744102,2019,1,3925,16683547.094795756
Andaman & Nicobar Islands,744105,2019,1,3553,11588669.48032856
Andaman & Nicobar Islands,744104,2019,1,2833,9141657.219605077
Andaman & Nicobar Islands,744211,2019,1,1511,5794838.401831552
Andaman & Nicobar Islands,744202,2019,1,1112,3613381.294736007
Andaman & Nicobar Islands,744107,2019,1,1029,3592930.2975779255
Andaman & Nicobar Islands,744301,2019,1,920,4652963.41114777
Andaman & Nicobar Islands,744112,2019,1,802,1893718.6537822199
Andaman & Nicobar Islands,744104,2019,2,6142,15625676.560883244
Andaman & Nicobar Islands,744103,2019,2,5847,23751450.067206983
Andaman & Nicobar Islands,744101,2019,2,4863,19061125.41121897
Andaman & Nicobar Islands,744102,2019,2,4120,18948733.987097777
Andaman & Nicobar Islands,744105,2019,2,3500,13418692.199162653
