State,Pincode,Year,Quarter,Registered_users
Andaman & Nicobar Islands,744103,2018,1,574
Andaman & Nicobar Islands,744101,2018,1,574
Andaman & Nicobar Islands,744105,2018,1,574
Andaman & Nicobar Islands,744102,2018,1,574
Andaman & Nicobar Islands,744104,2018,1,574
Andaman & Nicobar Islands,744202,2018,1,574
Andaman & Nicobar Islands,744112,2018,1,574
Andaman & Nicobar Islands,744301,2018,1,574
Andaman & Nicobar Islands,744107,2018,1,574
Andaman & Nicobar Islands,744211,2018,1,574
Andaman & Nicobar Islands,744103,2018,2,574
Andaman & Nicobar Islands,744101,2018,2,574
Andaman & Nicobar Islands,744105,2018,2,574
Andaman & Nicobar Islands,744102,2018,2,574
Andaman & Nicobar Islands,744104,2018,2,574
Andaman & Nicobar Islands,744202,2018,2,574
Andaman & Nicobar Islands,744112,2018,2,574
Andaman & Nicobar Islands,744107,2018,2,574
Andaman & Nicobar Islands,744301,2018,2,574
Andaman & Nicobar Islands,744211,2018,2,574
Andaman & Nicobar Islands,744103,2018,3,574
Andaman & Nicobar Islands,744101,2018,3,574
Andaman & Nicobar Islands,744105,2018,3,574
Andaman & Nicobar Islands,744102,2018,3,574
Andaman & Nicobar Islands,744104,2018,3,574
Andaman & Nicobar Islands,744202,2018,3,574
Andaman & Nicobar Islands,744112,2018,3,574
Andaman & Nicobar Islands,744107,2018,3,574
Andaman & Nicobar Islands,744301,2018,3,574
Andaman & Nicobar Islands,744211,2018,3,574
Andaman & Nicobar Islands,744103,2018,4,574
Andaman & Nicobar Islands,744101,2018,4,574
Andaman & Nicobar Islands,744105,2018,4,574
Andaman & Nicobar Islands,744102,2018,4,574
Andaman & Nicobar Islands,744104,2018,4,574
Andaman & Nicobar Islands,744202,2018,4,574
Andaman & Nicobar Islands,744107,2018,4,574
Andaman & Nicobar Islands,744112,2018,4,574
Andaman & Nicobar Islands,744211,2018,4,574
Andaman & Nicobar Islands,744301,2018,4,574
Andaman & Nicobar Islands,744103,2019,1,574
Andaman & Nicobar Islands,744101,2019,1,574
Andaman & Nicobar Islands,744105,2019,1,574
Andaman & Nicobar Islands,744102,2019,1,574
Andaman & Nicobar Islands,744104,2019,1,574
Andaman & Nicobar Islands,744202,2019,1,574
Andaman & Nicobar Islands,744107,2019,1,574
Andaman & Nicobar Islands,744112,2019,1,574
Andaman & Nicobar Islands,744211,2019,1,574
Andaman & Nicobar Islands,744301,2019,1,574
Andaman & Nicobar Islands,744103,2019,2,574
Andaman & Nicobar Islands,744101,2019,2,574
Andaman & Nicobar Islands,744105,2019,2,574
Andaman & Nicobar Islands,744102,2019,2,574
Andaman & Nicobar Islands,744202,2019,2,574
Andaman & Nicobar Islands,744104,2019,2,574
Andaman & Nicobar Islands,744107,2019,2,574
Andaman & Nicobar Islands,744112,2019,2,574
Andaman & Nicobar Islands,744211,2019,2,574
Andaman & Nicobar Islands,744301,2019,2,574
Andaman & Nicobar Islands,744103,2019,3,574
Andaman & Nicobar Islands,744101,2019,3,574
Andaman & Nicobar Islands,744105,2019,3,574
Andaman & Nicobar Islands,744102,2019,3,574
Andaman & Nicobar Islands,744202,2019,3,574
Andaman & Nicobar Islands,744104,2019,3,574
Andaman & Nicobar Islands,744107,2019,3,574
Andaman & Nicobar Islands,744112,2019,3,574
Andaman & Nicobar Islands,744211,2019,3,574
Andaman & Nicobar Islands,744301,2019,3,574
Andaman & Nicobar Islands,744103,2019,4,574
Andaman & Nicobar Islands,744101,2019,4,574
Andaman & Nicobar Islands,744105,2019,4,574
Andaman & Nicobar Islands,744102,2019,4,574
Andaman & Nicobar Islands,744202,2019,4,574
Andaman & Nicobar Islands,744104,2019,4,574
Andaman & Nicobar Islands,744107,2019,4,574
Andaman & Nicobar Islands,744112,2019,4,574
Andaman & Nicobar Islands,744211,2019,4,574
Andaman & Nicobar Islands,744301,2019,4,574
Andaman & Nicobar Islands,744103,2020,1,574
Andaman & Nicobar Islands,744101,2020,1,574
Andaman & Nicobar Islands,744105,2020,1,574
Andaman & Nicobar Islands,744102,2020,1,574
Andaman & Nicobar Islands,744202,2020,1,574
Andaman & Nicobar Islands,744104,2020,1,574
Andaman & Nicobar Islands,744107,2020,1,574
Andaman & Nicobar Islands,744112,2020,1,574
Andaman & Nicobar Islands,744211,2020,1,574
Andaman & Nicobar Islands,744301,2020,1,574
Andaman & Nicobar Islands,744103,2020,2,574
Andaman & Nicobar Islands,744105,2020,2,574
Andaman & Nicobar Islands,744101,2020,2,574
Andaman & Nicobar Islands,744102,2020,2,574
Andaman & Nicobar Islands,744202,2020,2,574
Andaman & Nicobar Islands,744104,2020,2,574
Andaman & Nicobar Islands,744107,2020,2,574
Andaman & Nicobar Islands,744112,2020,2,574
Andaman & Nicobar Islands,744211,2020,2,574
Andaman & Nicobar Islands,744205,2020,2,574
Andaman & Nicobar Islands,744103,2020,3,574
Andaman & Nicobar Islands,744105,2020,3,574
Andaman & Nicobar Islands,744101,2020,3,574
Andaman & Nicobar Islands,744102,2020,3,574
Andaman & Nicobar Islands,744202,2020,3,574
Andaman & Nicobar Islands,744104,2020,3,574
Andaman & Nicobar Islands,744107,2020,3,574
Andaman & Nicobar Islands,744112,2020,3,574
Andaman & Nicobar Islands,744211,2020,3,574
Andaman & Nicobar Islands,744205,2020,3,574
Andaman & Nicobar Islands,744103,2020,4,574
Andaman & Nicobar Islands,744105,2020,4,574
Andaman & Nicobar Islands,744101,2020,4,574
Andaman & Nicobar Islands,744102,2020,4,574
Andaman & Nicobar Islands,744202,2020,4,574
Andaman & Nicobar Islands,744107,2020,4,574
Andaman & Nicobar Islands,744104,2020,4,574
Andaman & Nicobar Islands,744112,2020,4,574
Andaman & Nicobar Islands,744211,2020,4,574
Andaman & Nicobar Islands,744205,2020,4,574
Andaman & Nicobar Islands,744103,2021,1,574
Andaman & Nicobar Islands,744105,2021,1,574
Andaman & Nicobar Islands,744101,2021,1,574
Andaman & Nicobar Islands,744102,2021,1,574
Andaman & Nicobar Islands,744202,2021,1,574
Andaman & Nicobar Islands,744107,2021,1,574
Andaman & Nicobar Islands,744104,2021,1,574
Andaman & Nicobar Islands,744112,2021,1,574
Andaman & Nicobar Islands,744211,2021,1,574
Andaman & Nicobar Islands,744205,2021,1,574
Andaman & Nicobar Islands,744103,2021,2,574
Andaman & Nicobar Islands,744105,2021,2,574
Andaman & Nicobar Islands,744101,2021,2,574
Andaman & Nicobar Islands,744102,2021,2,574
Andaman & Nicobar Islands,744202,2021,2,574
Andaman & Nicobar Islands,744107,2021,2,574
Andaman & Nicobar Islands,744104,2021,2,574
Andaman & Nicobar Islands,744112,2021,2,574
Andaman & Nicobar Islands,744211,2021,2,574
Andaman & Nicobar Islands,744205,2021,2,574
Andaman & Nicobar Islands,744103,2021,3,574
Andaman & Nicobar Islands,744105,2021,3,574
Andaman & Nicobar Islands,744101,2021,3,574
Andaman & Nicobar Islands,744102,2021,3,574
Andaman & Nicobar Islands,744202,2021,3,574
Andaman & Nicobar Islands,744107,2021,3,574
Andaman & Nicobar Islands,744104,2021,3,574
Andaman & Nicobar Islands,744112,2021,3,574
Andaman & Nicobar Islands,744211,2021,3,574
Andaman & Nicobar Islands,744205,2021,3,574
Andaman & Nicobar Islands,744103,2021,4,574
Andaman & Nicobar Islands,744105,2021,4,574
Andaman & Nicobar Islands,744101,2021,4,574
Andaman & Nicobar Islands,744102,2021,4,574
Andaman & Nicobar Islands,744202,2021,4,574
Andaman & Nicobar Islands,744107,2021,4,574
Andaman & Nicobar Islands,744104,2021,4,574
Andaman & Nicobar Islands,744112,2021,4,574
Andaman & Nicobar Islands,744211,2021,4,574
Andaman & Nicobar Islands,744205,2021,4,574
Andaman & Nicobar Islands,744103,2022,1,574
Andaman & Nicobar Islands,744105,2022,1,574
Andaman & Nicobar Islands,744101,2022,1,574
Andaman & Nicobar Islands,744102,2022,1,574
Andaman & Nicobar Islands,744202,2022,1,574
Andaman & Nicobar Islands,744107,2022,1,574
Andaman & Nicobar Islands,744104,2022,1,574
Andaman & Nicobar Islands,744112,2022,1,574
Andaman & Nicobar Islands,744211,2022,1,574
Andaman & Nicobar Islands,744205,2022,1,574
Andaman & Nicobar Islands,744103,2022,2,574
Andaman & Nicobar Islands,744105,2022,2,574
Andaman & Nicobar Islands,744101,2022,2,574
Andaman & Nicobar Islands,744102,2022,2,574
Andaman & Nicobar Islands,744202,2022,2,574
Andaman & Nicobar Islands,744107,2022,2,574
Andaman & Nicobar Islands,744104,2022,2,574
Andaman & Nicobar Islands,744112,2022,2,574
Andaman & Nicobar Islands,744211,2022,2,574
Andaman & Nicobar Islands,744205,2022,2,574
Andaman & Nicobar Islands,744103,2022,3,574
Andaman & Nicobar Islands,744105,2022,3,574
Andaman & Nicobar Islands,744101,2022,3,574
Andaman & Nicobar Islands,744102,2022,3,574
Andaman & Nicobar Islands,744202,2022,3,574
Andaman & Nicobar Islands,744107,2022,3,574
Andaman & Nicobar Islands,744104,2022,3,574
Andaman & Nicobar Islands,744112,2022,3,574
Andaman & Nicobar Islands,744211,2022,3,574
Andaman & Nicobar Islands,744205,2022,3,574
Andaman & Nicobar Islands,744103,2022,4,574
Andaman & Nicobar Islands,744105,2022,4,574
Andaman & Nicobar Islands,744101,2022,4,574
Andaman & Nicobar Islands,744102,2022,4,574
Andaman & Nicobar Islands,744202,2022,4,574
Andaman & Nicobar Islands,744107,2022,4,574
Andaman & Nicobar Islands,744104,2022,4,574
Andaman & Nicobar Islands,744112,2022,4,574
Andaman & Nicobar Islands,744211,2022,4,574
Andaman & Nicobar Islands,744205,2022,4,574
Andaman & Nicobar Islands,744103,2023,1,574
Andaman & Nicobar Islands,744105,2023,1,574
Andaman & Nicobar Islands,744101,2023,1,574
Andaman & Nicobar Islands,744102,2023,1,574
Andaman & Nicobar Islands,744202,2023,1,574
Andaman & Nicobar Islands,744107,2023,1,574
Andaman & Nicobar Islands,744104,2023,1,574
Andaman & Nicobar Islands,744112,2023,1,574
Andaman & Nicobar Islands,744211,2023,1,574
Andaman & Nicobar Islands,744205,2023,1,574
Andaman & Nicobar Islands,744103,2023,2,574
Andaman & Nicobar Islands,744105,2023,2,574
Andaman & Nicobar Islands,744101,2023,2,574
Andaman & Nicobar Islands,744102,2023,2,574
Andaman & Nicobar Islands,744202,2023,2,574
Andaman & Nicobar Islands,744107,2023,2,574
Andaman & Nicobar Islands,744104,2023,2,574
Andaman & Nicobar Islands,744112,2023,2,574
Andaman & Nicobar Islands,744211,2023,2,574
Andaman & Nicobar Islands,744205,2023,2,574
Andaman & Nicobar Islands,744103,2023,3,574
Andaman & Nicobar Islands,744105,2023,3,574
Andaman & Nicobar Islands,744101,2023,3,574
Andaman & Nicobar Islands,744102,2023,3,574
Andaman & Nicobar Islands,744202,2023,3,574
Andaman & Nicobar Islands,744107,2023,3,574
Andaman & Nicobar Islands,744104,2023,3,574
Andaman & Nicobar Islands,744112,2023,3,574
Andaman & Nicobar Islands,744211,2023,3,574
Andaman & Nicobar Islands,744205,2023,3,574
Andaman & Nicobar Islands,744103,2023,4,574
Andaman & Nicobar Islands,744105,2023,4,574
Andaman & Nicobar Islands,744101,2023,4,574
Andaman & Nicobar Islands,744102,2023,4,574
Andaman & Nicobar Islands,744202,2023,4,574
Andaman & Nicobar Islands,744107,2023,4,574
Andaman & Nicobar Islands,744104,2023,4,574
Andaman & Nicobar Islands,744112,2023,4,574
Andaman & Nicobar Islands,744211,2023,4,574
Andaman & Nicobar Islands,744205,2023,4,574
Andaman & Nicobar Islands,744103,2024,1,574
Andaman & Nicobar Islands,744105,2024,1,574
Andaman & Nicobar Islands,744101,2024,1,574
Andaman & Nicobar Islands,744102,2024,1,574
Andaman & Nicobar Islands,744202,2024,1,574
Andaman & Nicobar Islands,744107,2024,1,574
Andaman & Nicobar Islands,744104,2024,1,574
Andaman & Nicobar Islands,744112,2024,1,574
Andaman & Nicobar Islands,744211,2024,1,574
Andaman & Nicobar Islands,744205,2024,1,574
Andaman & Nicobar Islands,744103,2024,2,574
Andaman & Nicobar Islands,744105,2024,2,574
Andaman & Nicobar Islands,744101,2024,2,574
Andaman & Nicobar Islands,744102,2024,2,574
Andaman & Nicobar Islands,744202,2024,2,574
Andaman & Nicobar Islands,744107,2024,2,574
Andaman & Nicobar Islands,744104,2024,2,574
Andaman & Nicobar Islands,744112,2024,2,574
Andaman & Nicobar Islands,744211,2024,2,574
Andaman & Nicobar Islands,744205,2024,2,574
Andaman & Nicobar Islands,744103,2024,3,574
Andaman & Nicobar Islands,744105,2024,3,574
Andaman & Nicobar Islands,744102,2024,3,574
Andaman & Nicobar Islands,744104,2024,3,574
Andaman & Nicobar Islands,744101,2024,3,574
Andaman & Nicobar Islands,744202,2024,3,574
Andaman & Nicobar Islands,744106,2024,3,574
Andaman & Nicobar Islands,744211,2024,3,574
Andaman & Nicobar Islands,744107,2024,3,574
Andaman & Nicobar Islands,744301,2024,3,574
Andaman & Nicobar Islands,744103,2024,4,574
Andaman & Nicobar Islands,744105,2024,4,574
Andaman & Nicobar Islands,744104,2024,4,574
Andaman & Nicobar Islands,744102,2024,4,574
Andaman & Nicobar Islands,744101,2024,4,574
Andaman & Nicobar Islands,744202,2024,4,574
Andaman & Nicobar Islands,744106,2024,4,574
Andaman & Nicobar Islands,744211,2024,4,574
Andaman & Nicobar Islands,744107,2024,4,574
Andaman & Nicobar Islands,744301,2024,4,574
Andhra Pradesh,517501,2018,1,574
Andhra Pradesh,530016,2018,1,574
